from_code,from_label,to_code,to_label,count,avg_time_in_source_years,median_time_in_source_years,pct_university,transition_probability,from_isco,to_isco,mobility_direction
9111.1,domestic cleaner,9333.4,mover,9526,,,,0.1506,9,9,lateral
9333.4,mover,9111.1,domestic cleaner,8786,,,,0.0906,9,9,lateral
9333.4,mover,9313.1,building construction worker,6667,,,,0.0688,9,9,lateral
9111.1,domestic cleaner,9412.2,kitchen porter,6557,,,,0.1037,9,9,lateral
9313.1,building construction worker,9333.4,mover,5809,,,,0.1637,9,9,lateral
9412.2,kitchen porter,9111.1,domestic cleaner,5592,,,,0.1632,9,9,lateral
9333.4,mover,7223.4.5,metal sawing machine operator,5265,,,,0.0543,9,7,upward
9333.4,mover,9412.2,kitchen porter,5064,,,,0.0522,9,9,lateral
7223.4.5,metal sawing machine operator,9333.4,mover,5047,,,,0.1952,7,9,downward
9333.4,mover,9334.1,shelf filler,4800,,,,0.0495,9,9,lateral
9334.1,shelf filler,9333.4,mover,4410,,,,0.1211,9,9,lateral
9412.2,kitchen porter,9333.4,mover,4377,,,,0.1277,9,9,lateral
9333.4,mover,9329.2,wood caulker,4177,,,,0.0431,9,9,lateral
9333.4,mover,8160.34,food production operator,4143,,,,0.0427,9,8,upward
5223.4,sales assistant,9334.1,shelf filler,4019,,,,0.1364,5,9,downward
9333.4,mover,9329.1,factory hand,3948,,,,0.0407,9,9,lateral
9111.1,domestic cleaner,9334.1,shelf filler,3926,,,,0.0621,9,9,lateral
9329.2,wood caulker,9333.4,mover,3673,,,,0.2008,9,9,lateral
8160.34,food production operator,9333.4,mover,3551,,,,0.2057,8,9,downward
9111.1,domestic cleaner,9112.2,building cleaner,3483,,,,0.0551,9,9,lateral
9334.1,shelf filler,9111.1,domestic cleaner,3447,,,,0.0947,9,9,lateral
9329.1,factory hand,9333.4,mover,3358,,,,0.1777,9,9,lateral
9112.2,building cleaner,9111.1,domestic cleaner,3340,,,,0.3275,9,9,lateral
9334.1,shelf filler,5223.4,sales assistant,3034,,,,0.0833,9,5,upward
9111.1,domestic cleaner,9621.2,hotel porter,2897,,,,0.0458,9,9,lateral
